ID,Title,Abstract,Authors,Source_title
168,Electrodiffusion with Calcium-Activated Potassium Channels in Dendritic Spine,We investigate calcium signaling feedback through calcium activated potassium channels of a dendritic spine by applying the immersed boundary method with electrodiffusion  We simulate the stochastic gating of such ion channels and the resulting spatial distribution of concentration  current  and membrane voltage within the dendritic spine  In this simulation  the permeability to ionic flow across the membrane is regulated by the amplitude of chemical potential barriers  With spatially localized ion channels  chemical potential barriers are locally and stochastically regulated  This regulation represents the ion channel gating with multiple subunits  the open and closed states governed by a continuous time Markov process  The model simulation recapitulates an inhibitory action on voltage sensitive calcium channels by the calcium activated potassium channels in a stochastic manner as a non local feedback loop  The model predicts amplified calcium influx with more closely placed channel complexes  proposing a potential mechanism of differential calcium handling by channel distributions  This work provides a foundation for future computer simulation studies of dendritic spine motility and structural plasticity     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Lee P.,Bulletin of Mathematical Biology
169,Multiscale Modeling of Uranium Bioreduction in Porous Media by One-Dimensional Biofilms,We formulate a multiscale mathematical model that describes the bioreduction of uranium in porous media  On the mesoscale we describe the bioreduction of uranium  VI  to uranium  IV  using a multispecies one dimensional biofilm model with suspended bacteria and thermodynamic growth inhibition  We upscale the mesoscopic  colony scale  model to the macroscale  reactor scale  and investigate the behavior of substrate utilization and production  attachment and detachment processes  and thermodynamic effects not usually considered in biofilm growth models  Simulation results of the reactor model indicate that thermodynamic inhibition quantitatively alters the dynamics of the model and neglecting thermodynamic effects may over  or underestimate chemical concentrations in the system  Furthermore  we numerically investigate uncertainties related to the specific choice of attachment and detachment rate coefficients and find that while increasing the attachment rate coefficient or decreasing the detachment rate coefficient leads to thicker biofilms  performance of the reactor remains largely unaffected     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Gaebler H.J.; Eberl H.J.,Bulletin of Mathematical Biology
170,Bespoke Turing Systems,Reaction diffusion systems are an intensively studied form of partial differential equation  frequently used to produce spatially heterogeneous patterned states from homogeneous symmetry breaking via the Turing instability  Although there are many prototypical  Turing systems  available  determining their parameters  functional forms  and general appropriateness for a given application is often difficult  Here  we consider the reverse problem  Namely  suppose we know the parameter region associated with the reaction kinetics in which patterning is required we present a constructive framework for identifying systems that will exhibit the Turing instability within this region  whilst in addition often allowing selection of desired patterning features  such as spots  or stripes  In particular  we show how to build a system of two populations governed by polynomial morphogen kinetics such that the  patterning parameter domain  in any spatial dimension   morphogen phases  in any spatial dimension   and even type of resulting pattern  in up to two spatial dimensions  can all be determined  Finally  by employing spatial and temporal heterogeneity  we demonstrate that mixed mode patterns  spots  stripes  and complex prepatterns  are also possible  allowing one to build arbitrarily complicated patterning landscapes  Such a framework can be employed pedagogically  or in a variety of contemporary applications in designing synthetic chemical and biological patterning systems  We also discuss the implications that this freedom of design has on using reaction diffusion systems in biological modelling and suggest that stronger constraints are needed when linking theory and experiment  as many simple patterns can be easily generated given freedom to choose reaction kinetics     0    The Author s  ,Woolley T.E.; Krause A.L.; Gaffney E.A.,Bulletin of Mathematical Biology
171,Alternative Strategies for the Estimation of a Disease’s Basic Reproduction Number: A Model-Agnostic Study,This work presents a model agnostic evaluation of four different models that estimate a disease s basic reproduction number  The evaluation presented is twofold  first  the theory behind each of the models is reviewed and compared  then  each model is tested with eight impartial simulations  All scenarios were constructed in an experimental framework that allows each model to fulfill its assumptions and hence  obtain unbiased results for each case  Among these models is the one proposed by Thompson et al   Epidemics  9  00      0 9   i e   a Bayesian estimation method well established in epidemiological practice  The other three models include a novel state space method and two simulation based approaches based on a Poisson infection process  The advantages and flaws of each model are discussed from both theoretical and practical standpoints  Finally  we present the evolution of Covid  9 outbreak in Colombia as a case study for computing the basic reproduction number with each one of the reviewed methods     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Páez G.N.; Cerón J.F.; Cortés S.; Quiroz A.J.; Zea J.F.; Franco C.; Cruz É.; Vargas G.; Castañeda C.,Bulletin of Mathematical Biology
172,Parameter Estimation in a PDE Model for the Spatial Spread of Cocoa Black Pod Disease,In this paper  we develop an epidemiological model with both environmental  primary infection from the environmental spores reservoir  and direct transmission  secondary infection from an infected host to a susceptible pod   This model simulates the spatiotemporal evolution of cocoa black pod disease caused by Phytophthora megakarya  Since reliable parameter estimation is a central issue for modeling realistic biological systems  we used a mechanistic statistical approach to estimate model parameters from real observations of a specific cocoa plot  In addition  to refine numerical simulations of the pathosystem  data describing the shade intensity all over the plot were exploited and led to increased model predictions accuracy and also highlighted a higher number of infected pods located in areas of the plot with higher shading intensity  Recommendations in terms of promoting cocoa farming in systems with low shading intensity may be evident if these results are confirmed  Our results also highlight the importance of the environmental spore reservoir in black pod disease dynamics     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Nembot Fomba C.G.; ten Hoopen G.M.; Soubeyrand S.; Roques L.; Ambang Z.; Takam Soh P.,Bulletin of Mathematical Biology
173,Three-patch Models for the Evolution of Dispersal in Advective Environments: Varying Drift and Network Topology,We study the evolution of dispersal in advective three patch models with distinct network topologies  Organisms can move between connected patches freely and they are also subject to the passive  directed drift  The carrying capacity is assumed to be the same in all patches  while the drift rates could vary  We first show that if all drift rates are the same  the faster dispersal rate is selected for all three models  For general drift rates  we show that the infinite diffusion rate is a local Convergence Stable Strategy  CvSS  for all three models  However  there are notable differences for three models  For Model I  the faster dispersal is always favored  irrespective of the drift rates  and thus the infinity dispersal rate is a global CvSS  In contrast  for Models II and III a singular strategy will exist for some ranges of drift rates and bi stability phenomenon happens  i e   both infinity and zero diffusion rates are local CvSSs  Furthermore  for both Models II and III  it is possible for two competing populations to coexist by varying drift and diffusion rates  Some predictions on the dynamics of n patch models in advective environments are given along with some numerical evidence     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Jiang H.; Lam K.-Y.; Lou Y.,Bulletin of Mathematical Biology
174,Multiscale Modelling of De Novo Anaerobic Granulation,A multiscale mathematical model is presented to describe de novo granulation  and the evolution of multispecies granular biofilms  in a continuously fed bioreactor  The granule is modelled as a spherical free boundary domain with radial symmetry  The equation governing the free boundary is derived from global mass balance considerations and takes into account the growth of sessile biomass as well as exchange fluxes with the bulk liquid  Starting from a vanishing initial value  the expansion of the free boundary is initiated by the attachment process  which depends on the microbial species concentrations within the bulk liquid and their specific attachment velocity  Nonlinear hyperbolic PDEs model the growth of the sessile microbial species  while quasi linear parabolic PDEs govern the dynamics of substrates and invading species within the granular biofilm  Nonlinear ODEs govern the evolution of soluble substrates and planktonic biomass within the bulk liquid  The model is applied to an anaerobic  granular based bioreactor system  and solved numerically to test its qualitative behaviour and explore the main aspects of de novo anaerobic granulation  ecology  biomass distribution  relative abundance  dimensional evolution of the granules and soluble substrates  and planktonic biomass dynamics within the bioreactor  The numerical results confirm that the model accurately describes the ecology and the concentrically layered structure of anaerobic granules observed experimentally  and that it can predict the effects on the process of significant factors  such as influent wastewater composition  granulation properties of planktonic biomass  biomass density  detachment intensity  and number of granules     0    The Author s  ,Tenore A.; Russo F.; Mattei M.R.; D’Acunto B.; Collins G.; Frunzo L.,Bulletin of Mathematical Biology
175,Dimension Estimate of Uniform Attractor for a Model of High Intensity Focussed Ultrasound-Induced Thermotherapy,High intensity focussed ultrasound  HIFU  has emerged as a novel therapeutic modality  for the treatment of various cancers  that is gaining significant traction in clinical oncology  It is a cancer therapy that avoids many of the associated negative side effects of other more well established therapies  such as surgery  chemotherapy and radiotherapy  and does not lead to the longer recuperation times necessary in these cases  The increasing interest in HIFU from biomedical researchers and clinicians has led to the development of a number of mathematical models to capture the effects of HIFU energy deposition in biological tissue  In this paper  we study the simplest such model that has been utilized by researchers to study temperature evolution under HIFU therapy  Although the model poses significant theoretical challenges  in earlier work  we were able to establish existence and uniqueness of solutions to this system of PDEs  see Efendiev et al  Adv Appl Math Sci  9              0 0   In the current work  we take the next natural step of studying the long time dynamics of solutions to this model  in the case where the external forcing is quasi periodic  In this case  we are able to prove the existence of uniform attractors to the corresponding evolutionary processes generated by our model and to estimate the Hausdorff dimension of the attractors  in terms of the physical parameters of the system     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Efendiev M.A.; Murley J.; Sivaloganathan S.,Bulletin of Mathematical Biology
176,Probabilistic Model for Control of an Epidemic by Isolation and Quarantine,Assuming a homogeneous population  we apply the mass action law for rate of new infections and a second order gamma distribution for removal probability to model spread of an epidemic  In numerical examinations of higher order gamma distributions for removal probability  we discover an unexpected pattern in maximum fraction of population infected  We develop from first principles of probability an eighth order system of ordinary differential equations to model effects of isolation and quarantine  We derive analytical expressions for reproduction numbers modeling isolation and quarantine when applied separately and together and verify them numerically  We quantify strength and speed required of these interventions to contain epidemics of varying severity and examine how their effectiveness depends on when they begin  We find that effectiveness is highly sensitive to small changes of intervention strength in a critical region  Finally  adding two more differential equations to capture natural population dynamics  we calculate endemic disease equilibria when affected by isolation and examine dynamics of coming to an equilibrium state     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Kalbaugh D.V.,Bulletin of Mathematical Biology
177,Modelling Oscillatory Patterns in the Bovine Estrous Cycle with Boolean Delay Equations,Boolean delay equations  BDEs   with their relatively simple and intuitive mode of modelling  have been used in many research areas including  for example  climate dynamics and earthquake propagation  Their application to biological systems has been scarce and limited to the molecular level  Here  we derive and present two BDE models  One is directly derived from a previously published ordinary differential equation  ODE  model for the bovine estrous cycle  whereas the second model includes a modification of a particular biological mechanism  We not only compare the simulation results from the BDE models with the trajectories of the ODE model  but also validate the BDE models with two additional numerical experiments  One experiment induces a switch in the oscillatory pattern upon changes in the model parameters  and the other simulates the administration of a hormone that is known to shift the estrous cycle in time  The models presented here are the first BDE models for hormonal oscillators  and the first BDE models for drug administration  Even though automatic parameter estimation still remains challenging  our results support the role of BDEs as a framework for the systematic modelling of complex biological oscillators     0    The Author s  ,Berg M.; Plöntzke J.; Siebert H.; Röblitz S.,Bulletin of Mathematical Biology
178,Collective Oscillations in Coupled-Cell Systems,We investigate oscillations in coupled systems  The methodology is based on the Hopf bifurcation theorem and a condition extended from the Routh Hurwitz criterion  Such a condition leads to locating the bifurcation values of the parameters  With such an approach  we analyze a single cell system modeling the minimal genetic negative feedback loop and the coupled cell system composed by these single cell systems  We study the oscillatory properties for these systems and compare these properties between the model with Hill type repression and the one with protein sequestration based repression  As the parameters move from the Hopf bifurcation value for single cells to the one for coupled cells  we compute the eigenvalues of the linearized systems to obtain the magnitude of the collective frequency when the periodic solution of the coupled cell system is generated  Extending from this information on the parameter values  we further compute and compare the collective frequency for the coupled cell system and the average frequency of the decoupled individual cells  To compare these scenarios with other biological oscillators  we perform parallel analysis and computations on a segmentation clock model     0    The Author s  ,Chen K.-W.; Shih C.-W.,Bulletin of Mathematical Biology
179,Tipping Cascades in a Multi-patch System with Noise and Spatial Coupling,Forecasting tipping points in spatially extended systems is a key area of interest to ecologists  A slowly declining spatially distributed population is an important example of an ecological system that could exhibit a cascade of tipping points  Here  we develop a spatial two patch model with environmental stochasticity that is slowly forced through population collapse  in the presence of changing environmental conditions  We begin with a basic spatial model  then introduce a fast slow version of the model using geometric singular perturbation theory  followed by the inclusion of stochasticity  Using the spectral density of the fluctuating subpopulation in each patch  we derive analytic expressions for candidate indicators of population extinction and evaluate their performance through a simulation study  We find that coupling and spatial heterogeneity decrease the magnitude of the proposed indicators in coupled populations relative to isolated populations  Moreover  the degree of coupling dictates the trends in summary statistics  We conclude that this theory may be applied to other contexts  including the control of invasive species     0    The Author s  ,Mallela A.; Hastings A.,Bulletin of Mathematical Biology
180,Parameter Estimation for Mixed-Mechanism Tear Film Thinning,Etiologies of tear breakup include evaporation driven  divergent flow driven  and a combination of these two  A mathematical model incorporating evaporation and lipid driven tangential flow is fit to fluorescence imaging data  The lipid driven motion is hypothesized to be caused by localized excess lipid  or  globs   Tear breakup quantities such as evaporation rates and tangential flow rates cannot currently be directly measured during breakup  We determine such variables by fitting mathematical models for tear breakup and the computed fluorescent intensity to experimental intensity data gathered in vivo  Parameter estimation is conducted via least squares minimization of the difference between experimental data and computed answers using either the trust region reflective or Levenberg Marquardt algorithm  Best fit determination of tear breakup parameters supports the notion that evaporation and divergent tangential flow can cooperate to drive breakup  The resulting tear breakup is typically faster than purely evaporative cases  Many instances of tear breakup may have similar causes  which suggests that interpretation of experimental results may benefit from considering multiple mechanisms     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Luke R.A.; Braun R.J.; Driscoll T.A.; Awisi-Gyau D.; Begley C.G.,Bulletin of Mathematical Biology
181,Variance Reduction with Array-RQMC for Tau-Leaping Simulation of Stochastic Biological and Chemical Reaction Networks,We explore the use of Array RQMC  a randomized quasi Monte Carlo method designed for the simulation of Markov chains  to reduce the variance when simulating stochastic biological or chemical reaction networks with   leaping  The task is to estimate the expectation of a function of molecule copy numbers at a given future time T by the sample average over n sample paths  and the goal is to reduce the variance of this sample average estimator  We find that when the method is properly applied  variance reductions by factors in the thousands can be obtained  These factors are much larger than those observed previously by other authors who tried RQMC methods for the same examples  Array RQMC simulates an array of realizations of the Markov chain and requires a sorting function to reorder these chains according to their states  after each step  The choice of sorting function is a key ingredient for the efficiency of the method  although in our experiments  Array RQMC was never worse than ordinary Monte Carlo  regardless of the sorting method  The expected number of reactions of each type per step also has an impact on the efficiency gain     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Puchhammer F.; Ben Abdellah A.; L’Ecuyer P.,Bulletin of Mathematical Biology
182,Reconstructing the Intrinsic Statistical Properties of Intermittent Locomotion Through Corrections for Boundary Effects,Locomotion characteristics are often recorded within bounded spaces  a constraint which introduces geometry specific biases and potentially complicates the inference of behavioural features from empirical observations  We describe how statistical properties of an uncorrelated random walk  namely the steady state stopping location probability density and the empirical step probability density  are affected by enclosure in a bounded space  The random walk here is considered as a null model for an organism moving intermittently in such a space  that is  the points represent stopping locations and the step is the displacement between them  Closed form expressions are derived for motion in one dimension and simple two dimensional geometries  in addition to an implicit expression for arbitrary  convex  geometries  For the particular choice of no go boundary conditions  we demonstrate that the empirical step distribution is related to the intrinsic step distribution  i e  the one we would observe in unbounded space  via a multiplicative transformation dependent solely on the boundary geometry  This conclusion allows in practice for the compensation of boundary effects and the reconstruction of the intrinsic step distribution from empirical observations     0    The Author s  ,Cocconi L.; Kuhn-Régnier A.; Neuss M.; Sendova-Franks A.B.; Christensen K.,Bulletin of Mathematical Biology
183,A Model to Investigate the Impact of Farm Practice on Antimicrobial Resistance in UK Dairy Farms,The ecological and human health impact of antibiotic use and the related antimicrobial resistance  AMR  in animal husbandry is poorly understood  In many countries  there has been considerable pressure to reduce overall antibiotic use in agriculture or to cease or minimise use of human critical antibiotics  However  a more nuanced approach would consider the differential impact of use of different antibiotic classes  for example  it is not known whether reduced use of bacteriostatic or bacteriolytic classes of antibiotics would be of greater value  We have developed an ordinary differential equation model to investigate the effects of farm practice on the spread and persistence of AMR in the dairy slurry tank environment  We model the chemical fate of bacteriolytic and bacteriostatic antibiotics within the slurry and their effect on a population of bacteria  which are capable of resistance to both types of antibiotic  Through our analysis  we find that changing the rate at which a slurry tank is emptied may delay the proliferation of multidrug resistant bacteria by up to five years depending on conditions  This finding has implications for farming practice and the policies that influence waste management practices  We also find that  within our model  the development of multidrug resistance is particularly sensitive to the use of bacteriolytic antibiotics  rather than bacteriostatic antibiotics  and this may be cause for controlling the usage of bacteriolytic antibiotics in agriculture     0    The Author s  ,Lanyon C.W.; King J.R.; Stekel D.J.; Gomes R.L.,Bulletin of Mathematical Biology
184,Modeling Intracellular Delay in Within-Host HIV Dynamics Under Conditioning of Drugs of Abuse,Drugs of abuse  such as opiates  have been widely associated with the enhancement of HIV replication  the acceleration of disease progression  and severe neuropathogenesis  Specifically  the presence of drugs of abuse  morphine  switches target cells  CD + T cells  from lower to higher susceptibility to HIV infection  The effect of such switching behaviors on viral dynamics may be altered due to the intracellular delay  the replication time between viral entry into a target cell and the production of new viruses by the infected cell   In this study  we develop  for the first time  a viral dynamics model that includes an intracellular delay under the conditioning of drugs of abuse  We parameterize the model using experimental data from simian immunodeficiency virus infection of morphine addicted macaques  Results from thorough mathematical analyses and numerical simulations of our model show that the intracellular delay can play a significant role in HIV dynamics under the conditioning of drugs of abuse  particularly during the acute phase of infection  Our model and the related results provide new insights into the HIV dynamics and may help develop strategies to control HIV infections in drug abusers     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Vaidya N.K.; Peter M.,Bulletin of Mathematical Biology
185,Evolution and Adaptation of Anti-predation Response of Prey in a Two-Patchy Environment,When perceiving a risk from predators  a prey may respond by reducing its reproduction and decreasing or increasing  depending on the species  its mobility  We formulate a patch model to investigate the aforementioned fear effect which is indirect  in contrast to the predation as a direct effect  of the predator on the prey population  We consider not only cost but also benefit of anti predation response of the prey  and explore their trade offs together as well as the impact of the fear effect mediated dispersals of the prey  In the case of constant response level  if there is no dispersal and for some given response functions  the model indicates the existence of an evolutionary stable strategy which is also a convergence stable strategy for the response level  and if there is dispersal  the analysis of the model shows that it will enhance the co persistence of the prey on both patches  Considering the trait as another variable  we continue to study the evolution of anti predation strategy for the model with dispersal  which leads to a three dimensional system of ordinary differential equations  We perform some numerical simulations  which demonstrate global convergence to a positive equilibrium with the response level evolving towards a positive constant level  implying the existence of an optimal anti predation response level     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Li A.; Zou X.,Bulletin of Mathematical Biology
186,Modeling the Effect of HIV/AIDS Stigma on HIV Infection Dynamics in Kenya,Stigma toward people living with HIV AIDS  PLWHA  has impeded the response to the disease across the world  Widespread stigma leads to poor adherence of preventative measures while also causing PLWHA to avoid testing and care  delaying important treatment  Stigma is clearly a hugely complex construct  However  it can be broken down into components which include internalized stigma  how people with the trait feel about themselves  and enacted stigma  how a community reacts to an individual with the trait   Levels of HIV AIDS related stigma are particularly high in sub Saharan Africa  which contributed to a surge in cases in Kenya during the late twentieth century  Since the early twenty first century  the United Nations and governments around the world have worked to eliminate stigma from society and resulting public health education campaigns have improved the perception of PLWHA over time  but HIV AIDS remains a significant problem  particularly in Kenya  We take a data driven approach to create a time dependent stigma function that captures both the level of internalized and enacted stigma in the population  We embed this within a compartmental model for HIV dynamics  Since  000  the population in Kenya has been growing almost exponentially and so we rescale our model system to create a coupled system for HIV prevalence and fraction of individuals that are infected that seek treatment  This allows us to estimate model parameters from published data  We use the model to explore a range of scenarios in which either internalized or enacted stigma levels vary from those predicted by the data  This analysis allows us to understand the potential impact of different public health interventions on key HIV metrics such as prevalence and disease related death and to see how close Kenya will get to achieving UN goals for these HIV and stigma metrics by  0 0     0    The Author s  ,Levy B.; Correia H.E.; Chirove F.; Ronoh M.; Abebe A.; Kgosimore M.; Chimbola O.; Machingauta M.H.; Lenhart S.; White K.A.J.,Bulletin of Mathematical Biology
187,Oscillations and Pattern Formation in a Slow–Fast Prey–Predator System,We consider the properties of a slow fast prey predator system in time and space  We first argue that the simplicity of the prey predator system is apparent rather than real and there are still many of its hidden properties that have been poorly studied or overlooked altogether  We further focus on the case where  in the slow fast system  the prey growth is affected by a weak Allee effect  We first consider this system in the non spatial case and make its comprehensive study using a variety of mathematical techniques  In particular  we show that the interplay between the Allee effect and the existence of multiple timescales may lead to a regime shift where small amplitude oscillations in the population abundances abruptly change to large amplitude oscillations  We then consider the spatially explicit slow fast prey predator system and reveal the effect of different timescales on the pattern formation  We show that a decrease in the timescale ratio may lead to another regime shift where the spatiotemporal pattern becomes spatially correlated  leading to large amplitude oscillations in spatially average population densities and potential species extinction     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Chowdhury P.R.; Petrovskii S.; Banerjee M.,Bulletin of Mathematical Biology
188,Modelling Preferential Phagocytosis in Atherosclerosis: Delineating Timescales in Plaque Development,Atherosclerotic plaques develop over a long time and can cause heart attacks and strokes  There are no simple mathematical models that capture the different timescales of rapid macrophage and lipid dynamics and slow plaque growth  We propose a simple ODE model for lipid dynamics that includes macrophage preference for ingesting apoptotic material and modified low density lipoproteins  modLDL  over ingesting necrotic material  We use multiple timescale analysis to show that if the necrosis rate is small then the necrotic core in the model plaque may continue to develop slowly even when the lipid levels in plaque macrophages  apoptotic material and modLDL appear to have reached equilibrium  We use the model to explore the effect of macrophage emigration  apoptotic cell necrosis  total rate of macrophage phagocytosis and modLDL influx into the plaque on plaque lipid accumulation     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Lui G.; Myerscough M.R.,Bulletin of Mathematical Biology
189,Mosquito Control Based on Pesticides and Endosymbiotic Bacterium Wolbachia,Mosquito borne diseases  such as dengue fever and Zika  have posed a serious threat to human health around the world  Controlling vector mosquitoes is an effective method to prevent these diseases  Spraying pesticides has been the main approach of reducing mosquito population  but it is not a sustainable solution due to the growing insecticide resistance  One promising complementary method is the release of Wolbachia infected mosquitoes into wild mosquito populations  which has been proven to be a novel and environment friendly way for mosquito control  In this paper  we incorporate consideration of releasing infected sterile mosquitoes and spraying pesticides to aim to reduce wild mosquito populations based on the population replacement model  We present the estimations for the number of wild mosquitoes or infection density in a normal environment and then discuss how to offset the effect of the heatwave  which can cause infected mosquitoes to lose Wolbachia infection  Finally  we give the waiting time to suppress wild mosquito population to a given threshold size by numerical simulations     0    The Author s  ,Hu L.; Yang C.; Hui Y.; Yu J.,Bulletin of Mathematical Biology
190,Stochastic Chlamydia Dynamics and Optimal Spread,Chlamydia trachomatis is an important bacterial pathogen that has an unusual developmental switch from a dividing form  reticulate body or RB  to an infectious form  elementary body or EB   RBs replicate by binary fission within an infected host cell  but there is a delay before RBs convert into EBs for spread to a new host cell  We developed stochastic optimal control models of the Chlamydia developmental cycle to examine factors that control the number of EBs produced  These factors included the probability and timing of conversion  and the duration of the developmental cycle before the host cell lyses  Our mathematical analysis shows that the observed delay in RB to EB conversion is important for maximizing EB production by the end of the intracellular infection     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Enciso G.; Sütterlin C.; Tan M.; Wan F.Y.M.,Bulletin of Mathematical Biology
191,Coupling Epidemiological Models with Social Dynamics,In this work we study a Susceptible Infected Susceptible model coupled with a continuous opinion dynamics model  We assume that each individual can take measures to reduce the probability of contagion  and the level of effort each agent applies can change due to social interactions  We propose simple rules to model the propagation of behaviors that modify the level of effort  and analyze their impact on the dynamics of the disease  We derive a two dimensional set of ordinary differential equations describing the dynamic of the proportion of the number of infected individuals and the mean value of the effort parameter  and analyze the equilibria of the system  The stability of the endemic phase and disease free equilibria depends only on the mean value of the levels of efforts  and not on the initial distribution of levels of effort     0    The Author s   under exclusive licence to Society for Mathematical Biology ,Giambiagi Ferrari C.; Pinasco J.P.; Saintier N.,Bulletin of Mathematical Biology
192,Modeling of Symbiotic Bacterial Biofilm Growth with an Example of the Streptococcus–Veillonella sp. System,We present a multi dimensional continuum mathematical model for modeling the growth of a symbiotic biofilm system  We take a dual species namely  the Streptococcus Veillonella sp  biofilm system as an example for numerical investigations  The presented model describes both the cooperation and competition between these species of bacteria  The coupled partial differential equations are solved by using an integrative finite element numerical strategy  Numerical examples are carried out for studying the evolution and distribution of the bio components  The results demonstrate that the presented model is capable of describing the symbiotic behavior of the biofilm system  However  homogenized numerical solutions are observed locally  To study the homogenization behavior of the model  numerical investigations regarding on how random initial biomass distribution influences the homogenization process are carried out  We found that a smaller correlation length of the initial biomass distribution leads to faster homogenization of the solution globally  however  shows more fluctuated biomass profiles along the biofilm thickness direction  More realistic scenarios with bacteria in patches are also investigated numerically in this study     0    The Author s  ,Feng D.; Neuweiler I.; Nogueira R.; Nackenhorst U.,Bulletin of Mathematical Biology
193,Mechanical Models of Pattern and Form in Biological Tissues: The Role of Stress–Strain Constitutive Equations,Mechanical and mechanochemical models of pattern formation in biological tissues have been used to study a variety of biomedical systems  particularly in developmental biology  and describe the physical interactions between cells and their local surroundings  These models in their original form consist of a balance equation for the cell density  a balance equation for the density of the extracellular matrix  ECM   and a force balance equation describing the mechanical equilibrium of the cell ECM system  Under the assumption that the cell ECM system can be regarded as an isotropic linear viscoelastic material  the force balance equation is often defined using the Kelvin Voigt model of linear viscoelasticity to represent the stress strain relation of the ECM  However  due to the multifaceted bio physical nature of the ECM constituents  there are rheological aspects that cannot be effectively captured by this model and  therefore  depending on the pattern formation process and the type of biological tissue considered  other constitutive models of linear viscoelasticity may be better suited  In this paper  we systematically assess the pattern formation potential of different stress strain constitutive equations for the ECM within a mechanical model of pattern formation in biological tissues  The results obtained through linear stability analysis and the dispersion relations derived therefrom support the idea that fluid like constitutive models  such as the Maxwell model and the Jeffrey model  have a pattern formation potential much higher than solid like models  such as the Kelvin Voigt model and the standard linear solid model  This is confirmed by the results of numerical simulations  which demonstrate that  all else being equal  spatial patterns emerge in the case where the Maxwell model is used to represent the stress strain relation of the ECM  while no patterns are observed when the Kelvin Voigt model is employed  Our findings suggest that further empirical work is required to acquire detailed quantitative information on the mechanical properties of components of the ECM in different biological tissues in order to furnish mechanical and mechanochemical models of pattern formation with stress strain constitutive equations for the ECM that provide a more faithful representation of the underlying tissue rheology     0    The Author s  ,Villa C.; Chaplain M.A.J.; Gerisch A.; Lorenzi T.,Bulletin of Mathematical Biology
194,Topological Data Analysis Approaches to Uncovering the Timing of Ring Structure Onset in Filamentous Networks,In developmental biology as well as in other biological systems  emerging structure and organization can be captured using time series data of protein locations  In analyzing this time dependent data  it is a common challenge not only to determine whether topological features emerge  but also to identify the timing of their formation  For instance  in most cells  actin filaments interact with myosin motor proteins and organize into polymer networks and higher order structures  Ring channels are examples of such structures that maintain constant diameters over time and play key roles in processes such as cell division  development  and wound healing  Given the limitations in studying interactions of actin with myosin in vivo  we generate time series data of protein polymer interactions in cells using complex agent based models  Since the data has a filamentous structure  we propose sampling along the actin filaments and analyzing the topological structure of the resulting point cloud at each time  Building on existing tools from persistent homology  we develop a topological data analysis  TDA  method that assesses effective ring generation in this dynamic data  This method connects topological features through time in a path that corresponds to emergence of organization in the data  In this work  we also propose methods for assessing whether the topological features of interest are significant and thus whether they contribute to the formation of an emerging hole  ring channel  in the simulated protein interactions  In particular  we use the MEDYAN simulation platform to show that this technique can distinguish between the actin cytoskeleton organization resulting from distinct motor protein binding parameters     0    The Author s  ,Ciocanel M.-V.; Juenemann R.; Dawes A.T.; McKinley S.A.,Bulletin of Mathematical Biology
195,Leadership Through Influence: What Mechanisms Allow Leaders to Steer a Swarm?,Collective migration of cells and animals often relies on a specialised set of  leaders   whose role is to steer a population of naive followers towards some target  We formulate a continuous model to understand the dynamics and structure of such groups  splitting a population into separate follower and leader types with distinct orientation responses  We incorporate leader influence via three principal mechanisms  a bias in the orientation of leaders towards the destination  orientation bias   a faster movement of leaders when moving towards the target  speed bias   and leaders making themselves more clear to followers when moving towards the target  conspicuousness bias   Analysis and numerical computation are used to assess the extent to which the swarm is successfully shepherded towards the target  We find that successful leadership can occur for each of these three mechanisms across a broad region of parameter space  with conspicuousness bias emerging as the most robust  However  outside this parameter space we also find various forms of unsuccessful leadership  Forms of excessive influence can result in either swarm splitting  where the leaders break free and followers are left rudderless  or a loss of swarm cohesion that leads to its eventual dispersal  Forms of low influence  on the other hand  can even generate swarms that move away from the target direction  Leadership must therefore be carefully managed to steer the swarm correctly     0    The Author s  ,Bernardi S.; Eftimie R.; Painter K.J.,Bulletin of Mathematical Biology
